BABY FOOD,17302664,30,1000
BATTERIES,3601530,15,6000
BBQ,1004775,170,200
BISCUITS,16700260,120,300
BREAD,34600011,15,100
CANDYBARS,4600658,180,400
CHEWING GUM,24900193,80,1000
CHIPS ,27400066,60,1500
CHOCOLATE BARS,5100503,210,150
COFFEE,1004566,160,200
COOKIES,1307115,120,100
CREAM DESSERTS ,12719154,40,100
DISH SOAP,1004708,120,200
DONUTS,26022534,50,100
EGGS,1003461,20,250
ENERGY DRINKS,17200558,350,100
FLOUR,17300016,110,200
FLOWERS,1306894,450,400
FRESH FRUITS,1306421,70,120
FRIED CHICKEN,26019863,300,100
FROZEN FISH,17501048,600,100
FROZEN PIZZA,1005115,120,200
FRUIT JUICES,1307350,80,500
GIFT CARDS,1307340,100,200
HAND SANITIZERS,15900065,270,500
HONEY,41100055,600,200
ICE CREAM,12708937,150,100
KETCHUP,22700205,200,100
MAYONNAISE,1004258,120,100
MILK,10800182,90,200
MILKSHAKES,52000058,300,200
MUSTARD,15200565,200,100
NEWSPAPERS,4804194,100,100
NIVEA CREAM,3701016,450,60
NOODLES,5000088,60,50
OLIVE OIL,1002544,500,50
ORANGE JAM,16700826,210,50
PASTA,17200570,130,100
PEANUT BUTTER,22700067,400,100
PILLS HEADACHE,1005014,120,70
PILLS FOR STAMCACHE,27800054,670,70
PILLS FOR SLEEP,2201037,600,70
RICE,3901174,200,100
SALT,4600603,120,200
SANDWICHES,2701517,450,100
SAUCES,4100297,280,100
SHAMPOO,18100047,400,100
SHOWER GELS,2300214,400,70
SOAP,26400585,320,70
SODA,1005161,200,100
SPICES,30100041,200,200
SPORT DRINKS,21406939,1000,100
STREWBERRY JAM ,1800729,300,40
SUGAR,43200121,120,200
TEA,44300043,200,200
TISSUES,1003317,100,400
TOOTHPASTE,16700826,300,400
TUNA FISH,10701060,400,80
VINEGAR,25600085,120,100
VITAMIN C,9200640,300,100
WATER,17501048,90,2000
YOGHURTS,1004795,25,150
